## Error Type
Build Error

## Error Message
Module not found: Can't resolve 'next-themes'

## Build Output
./src/components/ThemeToggle.tsx:3:1
Module not found: Can't resolve 'next-themes'
  1 | 'use client';
  2 |
> 3 | import { useTheme } from 'next-themes';
    | ^
  4 | import { useEffect, useState } from 'react';
  5 | import { Moon, Sun } from 'lucide-react';
  6 |

https://nextjs.org/docs/messages/module-not-found

Import trace for requested module:
./src/components/UniversalBreadcrumb.tsx
./src/components/AppFrame.tsx

Next.js version: 15.5.20 (Webpack)
source_doc,relationship,target_doc_or_entity,note
AQL-ATL-EL-DBR-0002,defines_design_for,AQL-ATL-EL-SPC-0012,UPS spec derived from DBR
AQL-ATL-EL-SPC-0012,revised_by,AQL-ATL-CO-VO-0011,VRLA to Li-ion change (Rev B to C)
AQL-ATL-EL-SPC-0012,clarified_by,AQL-ATL-EL-RFI-0052,fault level and earthing
AQL-ATL-EL-RFI-0052,results_in,AQL-ATL-EL-SI-0044,clean-earth bonding site instruction
AQL-ATL-EL-SI-0044,adds_cable,C-DH1-EARTH1,earth cable in AQL-ATL-EL-CBS-0004
AQL-ATL-CO-VO-0011,costed_in,AQL-ATL-CO-CIA-0011,+INR 2.9 Cr
AQL-ATL-CO-VO-0011,triggers,AQL-ATL-PR-MAR-0044,Li-ion material approval
AQL-ATL-EL-SPC-0012,sized_by,AQL-ATL-EL-CAL-0007,UPS/load sizing calc
AQL-ATL-EL-SPC-0012,procured_via,AQL-ATL-PR-0031,purchase requisition
AQL-ATL-PR-0031,evaluated_by,AQL-ATL-PR-TBE-0031,technical bid eval
AQL-ATL-PR-TBE-0031,rejects,Nimbus Energy Systems,efficiency 96.0 pct non-compliant
AQL-ATL-PR-TBE-0031,leads_to,AQL-ATL-PR-CBE-0031,commercial bid eval
AQL-ATL-PR-CBE-0031,awards,AQL-ATL-PO-0012,PO to Meridian Critical Power
AQL-ATL-PO-0012,supplied_by,Meridian Critical Power,vendor code MCP
AQL-ATL-PO-0012,covers_equipment,UPS-01..UPS-12;BAT-01..BAT-12;STS-01..STS-16,tags
AQL-ATL-PO-0012,submittal,AQL-MCP-EL-VDS-0012,vendor data sheet
AQL-MCP-EL-VDS-0012,comment_becomes,AQL-ATL-QA-NCR-0037,seismic anchoring comment 2
AQL-ATL-QA-ITP-0009,governs_test,AQL-MCP-CX-FAT-0012,ITP item 7 hold point
AQL-MCP-CX-FAT-0012,raises,AQL-ATL-QA-NCR-0037,anchoring FAIL at FAT L1
AQL-ATL-QA-NCR-0037,dispositioned_by,AQL-ATL-QA-CAR-0037,rework + root cause
AQL-ATL-QA-CAR-0037,enables,AQL-ATL-QA-IRN-0028,inspection release note
AQL-ATL-QA-IRN-0028,releases_payment,AQL-ATL-CO-PAY-0001,70 pct milestone P2
AQL-ATL-QA-IRN-0028,followed_by,AQL-ATL-QA-MIR-0031,delivery inspection L2
AQL-ATL-QA-MIR-0031,handover_to,AQL-OHM-EL-MS-0015,install method statement
AQL-OHM-EL-MS-0015,verified_by,AQL-OHM-EL-CHK-0015,installation checklist
AQL-OHM-EL-MS-0015,ready_for,AQL-NBC-CX-PCC-0012,L3 pre-commissioning
AQL-NBC-CX-PCC-0012,precedes,AQL-NBC-CX-SAT-0012,L4 SAT
AQL-NBC-CX-SAT-0012,records,AQL-ATL-QA-PUN-0003,punch P03/P05
AQL-NBC-CX-SAT-0012,precedes,AQL-NBC-CX-IST-0002,L5 IST plan
AQL-NBC-CX-SAT-0012,certified_by,AQL-NBC-CX-CER-0012,commissioning certificate
AQL-NBC-CX-DEF-0005,blocks,AQL-NBC-CX-IST-0002,DEF-01/DEF-03 EPMS integration
AQL-NBC-CX-DEF-0005,escalated_via,AQL-ATL-PM-DLR-0001,delay D-07
AQL-ATL-PM-DLR-0001,linked_risk,AQL-ATL-PM-RSK-0001,R-011 BMS/EPMS
AQL-ATL-KM-KB-0001,precedent_for,AQL-ATL-QA-NCR-0037,H-NCR-221 Project Cygnus
AQL-ATL-KM-KB-0001,flags_vendor_risk,OrbitControls Automation,recurring integration slippage
AQL-ATL-PM-LL-0001,derived_from,AQL-ATL-QA-NCR-0037,lessons LL-05/LL-06
